iter	Passed	Remaining
0	9	9916
1	17	8885
2	26	8706
3	33	8364
4	41	8260
5	49	8130
6	56	8052
7	64	7975
8	72	7928
9	79	7848
10	86	7763
11	94	7778
12	102	7791
13	110	7810
14	119	7839
15	127	7834
16	134	7793
17	143	7808
18	150	7746
19	158	7748
20	165	7720
21	174	7756
22	181	7723
23	189	7716
24	197	7695
25	205	7704
26	213	7685
27	221	7685
28	229	7671
29	237	7668
30	244	7641
31	252	7627
32	259	7599
33	266	7565
34	274	7561
35	281	7543
36	290	7556
37	297	7542
38	306	7541
39	313	7520
40	321	7518
41	329	7507
42	337	7500
43	344	7480
44	351	7468
45	359	7454
46	367	7444
47	374	7424
48	381	7402
49	388	7390
50	396	7371
51	404	7365
52	411	7347
53	419	7342
54	426	7320
55	433	7311
56	440	7292
57	448	7286
58	456	7277
59	464	7273
60	471	7260
61	479	7252
62	487	7247
63	494	7230
64	502	7225
65	509	7216
66	518	7220
67	526	7217
68	535	7221
69	543	7218
70	553	7236
71	560	7228
72	569	7232
73	577	7229
74	586	7236
75	596	7256
76	607	7277
77	616	7290
78	625	7286
79	634	7292
80	642	7288
81	651	7293
82	660	7296
83	669	7306
84	677	7292
85	685	7283
86	692	7272
87	700	7262
88	708	7248
89	715	7237
90	723	7225
91	731	7222
92	739	7209
93	746	7195
94	753	7179
95	761	7167
96	769	7158
97	775	7140
98	783	7129
99	790	7115
100	799	7116
101	807	7111
102	816	7113
103	825	7113
104	835	7122
105	844	7119
106	852	7118
107	862	7121
108	870	7117
109	879	7118
110	888	7114
111	897	7114
112	905	7111
113	914	7110
114	923	7107
115	932	7109
116	941	7106
117	949	7100
118	958	7098
119	967	7096
120	976	7092
121	985	7091
122	994	7093
123	1003	7089
124	1012	7086
125	1032	7161
126	1040	7154
127	1049	7152
128	1058	7146
129	1080	7228
130	1088	7220
131	1098	7220
132	1106	7212
133	1115	7208
134	1124	7204
135	1132	7196
136	1142	7194
137	1150	7186
138	1158	7177
139	1166	7167
140	1175	7163
141	1184	7154
142	1192	7146
143	1200	7137
144	1208	7123
145	1215	7107
146	1222	7092
147	1229	7077
148	1236	7062
149	1245	7055
150	1251	7038
151	1259	7027
152	1266	7012
153	1274	6999
154	1281	6984
155	1288	6972
156	1296	6959
157	1302	6943
